price,floor_area,latitude,longitude,bedroom,bathroom,type_house,code,inferred_price,difference,dif_per
469000.0,156,52.67189077477643,-7.234891523568308,4,2,house,R95,430869.3,-38130.6875,-0.029537096375869234
429000.0,158,52.67189077477643,-7.234891523568308,4,2,house,R95,430869.3,1869.3125,0.0029476909770439043
285000.0,106,52.64556987837384,-7.268047941441438,2,2,,R95,270081.8,-14918.1875,-0.011556045034351602
340000.0,142,52.748299556753125,-8.768721306862489,4,3,house,V95,316002.25,-23997.75,-0.018589327941019054
310000.0,105,52.64556987837384,-7.268047941441438,3,3,house,R95,307152.3,-2847.6875,-0.002205898336762434
255000.0,102,52.32500830205734,-6.462498885578981,3,3,house,Y35,235947.44,-19052.5625,-0.01475864747441997
250000.0,95,52.32500830205734,-6.462498885578981,3,3,house,Y35,221719.97,-28280.03125,-0.02190650269664935
185000.0,105,52.333519,-7.315405,3,2,house,E32,209062.56,24062.5625,0.037943895611785086
500000.0,153,51.53049,-9.48442,4,3,house,P81,487203.1,-12796.90625,-0.009912841283525596
395000.0,189,54.971052,-7.692054,3,3,house,F92,335687.56,-59312.4375,-0.04594507200336266
285000.0,84,53.393464,-6.407156,3,1,house,D15,298006.8,13006.8125,0.020510248471751976
795000.0,267,53.023818,-6.221467,4,2,,,868420.2,73420.1875,0.11577519768718267
540000.0,82,53.342728,-6.239747,3,2,apartment,D02,501252.44,-38747.5625,-0.03001494499391118
575000.0,207,52.084981,-7.645957,4,3,house,X35,511402.5,-63597.5,-0.04926440119298514
575000.0,242,52.055091,-9.505483,6,5,house,V93,562181.1,-12818.875,-0.009929858891351506
565000.0,201,52.654304,-7.800728,5,3,house,E41,427837.62,-137162.375,-0.10624980967149142
139000.0,60,54.206761,-8.506714,2,1,house,F91,110079.6,-28920.3984375,-0.02240254901978821
210000.0,105,52.834522,-8.976808,3,2,house,V95,218923.48,8923.484375,0.014071309305415634
239950.0,144,53.855783,-7.923197,4,3,house,,195657.83,-44292.171875,-0.034309954400073166
195000.0,85,53.517885,-8.861501,3,3,house,H54,164260.16,-30739.84375,-0.023811942216434245
315000.0,117,53.603403,-6.387176,4,2,house,A42,327792.8,12792.8125,0.020172795066241984
160000.0,81,53.8497,-6.697165,2,1,house,,137939.38,-22060.625,-0.017088776769023907
875000.0,165,53.137694,-6.083099,4,2,house,A63,916085.7,41085.6875,0.06478740731118822
405000.0,101,53.298780066426616,-6.573676143088477,3,3,house,W23,364163.03,-40836.96875,-0.03163345747875934
385000.0,104,53.298780066426616,-6.573676143088477,3,3,house,W23,406246.9,21246.90625,0.03350392930193466
1225000.0,179,53.269067,-9.065158,4,3,house,H91,425681.47,-799318.53125,-0.6191744770547212
