price,floor_area,latitude,longitude,bedroom,bathroom,type_house,code,predicted_price,residual,res_percentage
210000.0,105,52.834522,-8.976808,3,2,house,V95,218179.09558174838,8179.095581748377,0.038948074198801794
239950.0,144,53.855783,-7.923197,4,3,house,,206153.23574587208,-33796.76425412792,-0.14084919464108323
195000.0,85,53.517885,-8.861501,3,3,house,H54,169014.1227901604,-25985.877209839586,-0.13326090876840813
315000.0,117,53.603403,-6.387176,4,2,house,A42,331258.0705106463,16258.070510646328,0.05161292225602009
160000.0,81,53.8497,-6.697165,2,1,house,,149774.07495627846,-10225.925043721538,-0.06391203152325961
875000.0,165,53.137694,-6.083099,4,2,house,A63,806849.839269083,-68150.160730917,-0.07788589797819087
405000.0,101,53.298780066426616,-6.573676143088477,3,3,house,W23,381745.3422185548,-23254.65778144519,-0.0574189081023338
385000.0,104,53.298780066426616,-6.573676143088477,3,3,house,W23,388281.7363949533,3281.7363949532737,0.00852399063624227
1225000.0,179,53.269067,-9.065158,4,3,house,H91,468624.1713455835,-756375.8286544165,-0.6174496560444216
120000.0,80,53.912597,-7.6028774,2,1,,,124005.66712915729,4005.6671291572857,0.033380559409644045
550000.0,99,53.450315,-6.180351,3,2,house,K36,470741.2261813273,-79258.7738186727,-0.1441068614884958
280000.0,242,53.546504,-9.109413,4,2,house,,359865.2538856788,79865.25388567877,0.2852330495917099
650000.0,300,53.904718,-6.393884,5,3,house,A91,597135.7542912026,-52864.24570879736,-0.08132960878276517
495000.0,132,53.383405,-6.246469,4,2,house,D09,617215.2646113266,122215.26461132662,0.24689952446732652
425000.0,207,52.510939,-6.573256,5,3,house,Y21,421475.38486941566,-3524.6151305843377,-0.008293212071963148
450000.0,88,53.317085,-6.244024,2,2,apartment,D06,564993.4783802978,114993.47838029778,0.2555410630673284
410000.0,167,53.1520846,-6.7891953,4,3,house,W12,419031.740390863,9031.740390862979,0.0220286350996658
260000.0,104,52.716836,-8.854136,3,3,house,V14,237360.02969554602,-22639.97030445398,-0.08707680886328453
205000.0,166,54.167513,-8.608365,4,3,house,F56,267123.6786875797,62123.6786875797,0.30304233506136435
350000.0,177,52.048488,-7.734589,4,2,house,P36,347351.38662845944,-2648.6133715405595,-0.00756746677583017
1150000.0,261,51.896854,-8.500053,4,4,house,T12,818582.2128943058,-331417.7871056942,-0.288189380091908
355000.0,222,52.807498,-7.338165,4,3,house,R95,485838.44174504763,130838.44174504763,0.3685589908311201
500000.0,209,52.617666,-8.476698,7,4,,V94,446250.31097513135,-53749.689024868654,-0.1074993780497373
350000.0,184,52.628327,-8.2813,4,3,house,,343398.48077260185,-6601.519227398152,-0.018861483506851864
410000.0,105,53.4666752,-6.2336216,3,3,house,K67,406266.19936599256,-3733.8006340074353,-0.009106830814652281
359000.0,116,54.270027,-8.49506,4,3,house,F91,217184.32142585985,-141815.67857414015,-0.39502974533186674
445000.0,167,52.098723,-7.603396,5,3,house,X35,380156.051452352,-64843.948547647975,-0.1457167383093213
300000.0,117,53.03804794639119,-7.325866782299499,3,3,house,R32,242540.15047209943,-57459.84952790057,-0.19153283175966856
260000.0,108,53.03804794639119,-7.325866782299499,3,3,house,R32,238408.64243902982,-21591.35756097018,-0.08304368292680839
420000.0,112,53.340545434028485,-6.555605636795121,3,2,house,W23,381759.4658962168,-38240.5341037832,-0.09104889072329332
685000.0,274,52.230281388673234,-7.065116154398595,5,4,house,X91,570297.0478220235,-114702.95217797649,-0.16744956522332335
645000.0,246,52.230281388673234,-7.065116154398595,4,4,house,X91,515907.2956613617,-129092.70433863829,-0.20014372765680355
315000.0,127,52.64515933990487,-8.583712013179934,4,3,house,V94,282805.45655756287,-32194.543442437134,-0.10220489981726075
270000.0,100,52.93527872588968,-6.243042414603991,3,3,house,A67,315879.77196137566,45879.77196137566,0.16992508133842837
245000.0,87,52.93527872588968,-6.243042414603991,2,2,house,A67,265455.5954798921,20455.5954798921,0.0834922264485392
250000.0,134,54.10004665320943,-7.457050578212062,3,2,house,H14,209778.28507671013,-40221.71492328987,-0.16088685969315947
795000.0,223,52.74675,-9.50401,3,3,house,,395564.74142040825,-399435.25857959175,-0.5024342875214991
295000.0,90,53.389375,-6.417749,3,2,house,D15,333432.9684648567,38432.968464856676,0.13028124903341246
165000.0,69,52.160104,-7.139316,2,2,apartment,X91,153947.92331772007,-11052.076682279934,-0.0669822829229087
395000.0,72,53.359431,-6.273474,3,1,house,D07,374634.18698561966,-20365.813014380343,-0.05155902028957049
275000.0,83,53.265982,-7.507525,3,1,house,R35,216074.0456175411,-58925.954382458905,-0.21427619775439602
525000.0,232,53.588044,-6.920052,4,4,house,C15,498826.5580013634,-26173.441998636583,-0.04985417523549825
400000.0,113,51.883612,-8.614786,4,3,house,P31,345696.59924854327,-54303.400751456735,-0.13575850187864183
295000.0,44,53.451746,-6.156239,1,1,apartment,K36,276362.4252970715,-18637.574702928483,-0.06317821933196095
525000.0,186,52.66242,-7.248676,4,3,house,R95,451456.10831932694,-73543.89168067306,-0.14008360320128202
550000.0,74,53.345585,-6.238383,2,2,apartment,D02,519622.90726359916,-30377.09273640084,-0.05523107770254698
575000.0,185,52.047205,-9.505843,4,3,house,V93,416305.21603779827,-158694.78396220173,-0.27599092862991603
350000.0,83,51.890533,-8.453776,3,1,house,T12,279094.60158247635,-70905.39841752365,-0.20258685262149614
450000.0,70,53.341301,-6.299988,2,2,house,,314638.58300672733,-135361.41699327267,-0.3008031488739393
390000.0,232,53.04808,-7.450931,5,3,house,,400198.0613521632,10198.061352163204,0.026148875261956934
275000.0,106,51.872336,-8.343062,3,3,house,T12,313705.59764456993,38705.597644569934,0.14074762779843614
295000.0,80,51.900012,-8.488609,3,1,house,T23,237067.68624734823,-57932.31375265177,-0.19638072458526024
1450000.0,310,51.888312,-8.517048,5,3,house,T12,952973.2127780928,-497026.7872219072,-0.34277709463579803
430000.0,97,53.195893,-6.123381,3,1,house,A98,409115.2311417567,-20884.768858243304,-0.048569229902891406
1650000.0,468,52.96286,-6.160905,5,6,house,A67,1469693.5981032688,-180306.40189673123,-0.10927660721014014
465000.0,118,53.244996,-6.18367,2,2,apartment,D18,577307.9559853361,112307.9559853361,0.24152248598997011
1450000.0,250,53.293473,-6.135329,5,5,house,A96,1605608.3730202285,155608.37302022846,0.1073161193242955
285000.0,62,53.357912,-6.261216,2,1,apartment,D01,324994.5900541927,39994.5900541927,0.1403318949269919
680000.0,286,54.096538,-7.526358,4,3,house,H14,391180.1912464641,-288819.8087535359,-0.42473501287284693
449500.0,125,52.933237,-9.399481,3,2,house,,232955.53082370415,-216544.46917629585,-0.48174520395171494
895000.0,158,53.314667,-6.252408,4,3,house,D06,1053977.7567591984,158977.75675919838,0.17762877850189762
279000.0,105,51.748725,-8.717015,3,2,house,P72,262411.9428762187,-16588.0571237813,-0.05945540187735232
430000.0,84,53.267135,-6.170342,3,1,house,D18,459431.2758740886,29431.275874088577,0.06844482761415949
445000.0,145,52.245819,-6.968009,3,3,house,X91,309352.85584252357,-135647.14415747643,-0.30482504305050884
290000.0,96,53.280423,-8.982584,3,3,house,H91,293967.37257062114,3967.3725706211408,0.013680595071107382
395000.0,163,53.280894,-7.503747,4,2,house,R35,371228.26357649703,-23771.736423502967,-0.060181611198741686
750000.0,278,52.872261,-6.198214,6,5,house,A67,849678.2403986712,99678.24039867125,0.13290432053156165
395000.0,197,53.033992,-7.307695,5,2,house,R32,344404.2600233831,-50595.739976616926,-0.12809048095346057
560000.0,232,53.527487,-6.16774,4,2,house,K45,845929.7246513495,285929.7246513495,0.5105887940202669
395000.0,143,53.790334,-9.527846,4,2,house,F28,282205.34134293086,-112794.65865706914,-0.28555609786599784
1395000.0,254,53.32403,-6.250857,5,3,house,D06,1698233.5069457672,303233.5069457672,0.2173716895668582
495000.0,405,53.466688,-9.127366,5,5,house,,662888.9645593625,167888.9645593625,0.3391696253724495
185000.0,80,51.749378,-8.734324,2,1,house,P72,210818.9283716531,25818.928371653106,0.1395617749819087
325000.0,121,53.37609,-6.390955,3,2,apartment,D15,400251.15406648314,75251.15406648314,0.2315420125122558
245000.0,113,53.46628,-9.10811,3,2,house,,219301.51168485635,-25698.48831514365,-0.10489178904140266
825000.0,197,51.888891,-8.435343,5,1,house,T12,508046.84895020607,-316953.15104979393,-0.38418563763611385
160000.0,71,53.162544,-7.195811,2,1,house,R32,178470.24357540044,18470.24357540044,0.11543902234625275
255000.0,80,51.892274,-8.472385,2,1,house,T12,248566.8453048221,-6433.154695177887,-0.025228057628148576
497000.0,120,53.355391,-6.443388,4,2,house,K78,385935.70075337286,-111064.29924662714,-0.2234694149831532
750000.0,127,53.36971,-6.263471,3,2,house,D09,633647.0560295121,-116352.94397048792,-0.15513725862731723
395000.0,159,54.29633,-8.495738,5,2,house,F91,279155.15125643706,-115844.84874356294,-0.29327809808496946
