floor_area,views,latitude,longitude,bathroom,type_house,code,price,inferred_price,difference,dif_per
124,1822.0,53.28226,-6.174413,2,house,A94,595000.0,696226.1635322093,101226.16353220935,0.15428803628223836
143,852.0,53.282649,-6.148963,2,house,A96,595000.0,820915.8791497672,225915.87914976722,0.34433901417099666
149,1867.0,53.729222,-7.787876,2,house,N39,239000.0,209851.16809106994,-29148.831908930064,-0.021609658490453033
265,8638.0,53.283614,-8.744357,3,house,H65,380000.0,504143.17430626776,124143.17430626776,0.18921794438513018
100,1844.0,54.286097,-8.004323,1,house,,179000.0,151094.01096399568,-27905.98903600432,-0.020688269594831773
231,8274.0,52.869886,-9.186346,4,house,,375000.0,399688.21290139103,24688.21290139103,0.03762955894956368
81,3776.0,53.172445,-6.809838,2,apartment,W12,185000.0,215719.3816193084,30719.381619308406,0.046822213748520344
44,8291.0,53.955939,-6.640189,1,house,A91,175000.0,89696.92447779307,-85303.07552220693,-0.0632399382582284
51,18613.0,51.87495,-10.357846,1,house,V23,130000.0,122035.0436798285,-7964.956320171506,-0.005904867354823604
88,2254.0,53.612287,-6.187575,1,house,K32,265000.0,278404.0867260366,13404.086726036621,0.020430392172859125
70,7508.0,52.656741,-7.245998,2,apartment,R95,185000.0,170144.07167498246,-14855.928325017536,-0.011013530101833183
418,6204.0,52.553438,-8.350418,1,house,,500000.0,284356.2670192182,-215643.73298078182,-0.1598687535706534
92,4129.0,53.387773,-6.162635,1,house,,390000.0,410111.6429515266,20111.64295152662,0.03065399091622412
113,1961.0,53.975177,-8.292556,3,house,F52,170000.0,163154.8369156035,-6845.16308439651,-0.005074702033598379
96,2014.0,53.176984,-6.816234,1,house,W12,200000.0,270458.58597108186,70458.58597108186,0.10739236269921906
102,1673.0,51.903003,-8.354059,2,house,T45,225000.0,264058.84426551487,39058.84426551487,0.059533150036477786
265,4380.0,53.440221,-6.152263,3,house,K36,1275000.0,1511246.2157609395,236246.21576093952,0.3600844232061335
70,10794.0,51.88461963512216,-8.932649831994894,1,house,P12,100000.0,187082.97045880274,87082.97045880274,0.13273110465593874
82,2532.0,52.423397,-6.936332,1,house,Y34,155000.0,175798.04448125936,20798.044481259363,0.03170019814593792
269,5055.0,53.307275,-6.269296,3,house,D06,2500000.0,1532621.3377351768,-967378.6622648232,-0.7171718780295187
99,18753.0,51.919321,-8.390912,2,house,T45,310000.0,278316.28731170145,-31683.712688298547,-0.023488907310004685
185,1051.0,51.867316,-8.23683,3,house,P25,550000.0,451442.23505976005,-98557.76494023995,-0.07306638045034124
65,7896.0,53.298931,-6.171898,1,house,A94,525000.0,498614.3952366164,-26385.604763383628,-0.01956112374527464
78,3119.0,53.283416,-9.008142,2,house,H91,190000.0,266801.72995854943,76801.72995854943,0.11706052748519807
156,5388.0,51.851458,-8.290427,2,house,P24,305000.0,317215.66466564557,12215.66466564557,0.01861900962536306
551,9395.0,53.756956,-9.246353,7,house,,550000.0,672999.1344249281,122999.13442492811,0.187474208768159
100,5601.0,55.02056322760407,-8.318051785043906,1,house,,185000.0,151624.50185081633,-33375.498149183666,-0.02474312244161141
183,2913.0,53.58827362597157,-7.104907928336928,3,house,N91,422000.0,363152.4418190488,-58847.55818095122,-0.04362698441092007
150,2672.0,53.465185,-9.076797,2,house,,230000.0,250976.82263565445,20976.822635654447,0.0319726902508373
139,3787.0,53.478337,-8.163831,2,house,,650000.0,247333.0595671753,-402666.94043282466,-0.298519511702393
62,3592.0,52.863552,-8.20297,1,house,E45,130000.0,133396.02287337102,3396.0228733710246,0.005176188467670794
70,1973.0,51.869466,-8.43083,2,apartment,T12,230000.0,268897.4658082843,38897.465808284294,0.05928717839836034
173,5483.0,52.306141,-6.88179,2,house,,265000.0,404472.6365919011,139472.63659190107,0.21258297720651556
107,2491.0,53.15226,-6.907606,3,house,R51,310000.0,221930.52942009404,-88069.47057990596,-0.06529082155376927
111,4231.0,53.401857,-6.676481,3,house,W23,319000.0,337481.6338868412,18481.633886841184,0.028169545305158937
241,11120.0,54.02659,-8.27063,2,house,,350000.0,248595.0714290942,-101404.92857090579,-0.07517714200392095
111,5518.0,53.350815,-6.280786,5,apartment,D07,360000.0,542300.7098104806,182300.7098104806,0.27786115316488813
57,8627.0,53.340639,-6.233033,1,house,D04,425000.0,453220.8865429169,28220.88654291688,0.04301402932716143
62,11421.0,53.340312,-6.243594,1,apartment,D02,350000.0,416296.2662735301,66296.26627353008,0.10104819129031446
92,10714.0,53.320426,-6.214803,1,apartment,D04,495000.0,633685.2542932369,138685.25429323688,0.2113828559688314
100,330.0,53.789841,-8.925837,2,house,F12,169000.0,157583.27255831042,-11416.727441689582,-0.008463858238446687
88,7054.0,51.913096,-8.473761,2,house,T23,150000.0,245336.7125907729,95336.71259077289,0.14531138648314093
125,4475.0,54.046496,-8.04471,3,house,,169950.0,190917.85752479383,20967.857524793828,0.03195902570699338
92,18257.0,52.504982,-6.55874,1,house,Y21,129000.0,143414.83962522118,14414.839625221182,0.021970972933209133
140,6295.0,53.388944,-6.246242,2,house,D09,580000.0,614881.0565199491,34881.05651994911,0.053165402363592414
54,8244.0,53.325885,-6.306414,1,house,D12,290000.0,273143.4597372071,-16856.5402627929,-0.01249669556391142
199,7756.0,53.387874,-6.095631,3,house,D13,995000.0,1111379.0425073951,116379.04250739515,0.17738392236074146
77,1232.0,53.382754,-6.187833,1,house,D17,350000.0,344718.4924522559,-5281.507547744084,-0.003915476777185512
164,3595.0,53.531923,-6.955405,4,house,,320000.0,355815.7082873652,35815.70828736521,0.05458999044211293
60,1393.0,53.446858,-6.178716,1,apartment,,375000.0,259827.60227618797,-115172.39772381203,-0.08538373647747187
170,2163.0,53.505033,-6.445831,3,house,A84,525000.0,501718.7545131119,-23281.245486888103,-0.017259688682410724
117,20119.0,53.286312,-6.15849,3,house,A96,595000.0,674977.6413317621,79977.64133176208,0.12190122392257209
87,582.0,53.284365,-9.075735,1,house,H91,310000.0,277135.45002612035,-32864.54997387965,-0.024364327997664678
105,2584.0,53.702821,-7.616473,3,house,N39,125000.0,153448.34781123154,28448.347811231535,0.04336072381002967
82,5068.0,53.1825209,-6.7976178,1,house,W12,195000.0,220844.84581069532,25844.84581069532,0.03939248875001184
82,2174.0,53.370507,-6.38673,1,house,D20,495000.0,356674.6473143117,-138325.3526856883,-0.1025483162223537
160,1351.0,52.320683,-7.374802,4,house,E32,280000.0,323352.33614514896,43352.33614514896,0.06607725294216284
210,2912.0,53.319239,-6.630007,4,house,W23,550000.0,702119.9163114276,152119.9163114276,0.23185985073553192
133,2554.0,53.355952,-6.435613,2,house,K78,545000.0,441577.131763415,-103422.868236585,-0.07667315347930041
68,3943.0,53.349967,-6.238601,2,apartment,D01,415000.0,342443.54283204436,-72556.45716795564,-0.0537901575464626
204,7909.0,53.321821,-6.278843,2,house,D06,1195000.0,1168071.14637642,-26928.853623579955,-0.01996386449251446
80,4520.0,53.299812,-6.187339,2,apartment,A94,600000.0,472359.4184217347,-127640.5815782653,-0.09462709813027181
145,3671.0,51.934132,-8.052084,3,house,P25,255000.0,333447.14649131475,78447.14649131475,0.11956845702483643
56,2670.0,53.347758,-6.278864,1,apartment,D07,305000.0,294076.18435147905,-10923.815648520947,-0.008098435172796233
80,3103.0,53.395652,-7.727867,2,apartment,N37,180000.0,226382.995326767,46382.995326767006,0.07069655725496334
98,19244.0,51.90443,-8.471885,1,house,T23,375000.0,239870.77228089346,-135129.22771910654,-0.10017885012380028
284,8857.0,53.008229,-9.353403,7,house,V95,479000.0,645078.9788505386,166078.9788505386,0.2531361322061331
230,8597.0,53.142401,-7.117619,4,house,R32,675000.0,463265.90407282556,-211734.09592717444,-0.15697032107723352
110,2350.0,53.148672,-7.52435,1,house,,130000.0,207123.99085165904,77123.99085165904,0.11755171473001172
196,2943.0,53.388856,-6.108123,3,house,D13,1150000.0,1073141.745222482,-76858.2547775181,-0.05697932058147302
83,4512.0,52.702069,-8.882933,1,house,V14,150000.0,133548.44505951,-16451.554940489994,-0.012196457306133045
155,3694.0,53.306719,-6.360579,3,house,D22,439500.0,538925.7604369599,99425.76043695991,0.15154387757475052
48,2826.0,53.125584,-6.078388,1,apartment,A63,240000.0,228036.88275523728,-11963.117244762718,-0.00886892754221728
182,1882.0,53.400009,-6.160641,2,house,D13,399000.0,729985.5708954013,330985.5708954013,0.5044853226602617
163,0.0,52.264217,-7.091111,1,house,X91,199000.0,336256.78403572756,137256.78403572756,0.20920559405127817
114,9274.0,53.303916,-6.246192,3,house,D14,525000.0,632791.9345009376,107791.93450093758,0.16429552717288812
