price,floor_area,latitude,longitude,bedroom,bathroom,type_house,place,predicted_price,residual,res_percentage
495000.0,119,53.12815660102234,-6.08256378583016,3,3,house,Greystones,501290.24355656415,6290.24355656415,0.012707562740533637
875000.0,279,52.586433,-7.297343,4,4,house,Kilkenny,584698.1954623858,-290301.8045376142,-0.33177349090013053
349950.0,81,53.338149,-6.312975,3,1,house,Dublin 8,362415.90289620275,12465.902896202751,0.03562195426833191
485000.0,121,53.383126,-6.27786,3,2,house,Dublin 11,480547.7643073935,-4452.235692606482,-0.009179867407436046
450000.0,94,53.370452,-6.250758,2,1,house,Dublin 9,450954.4643837294,954.4643837293843,0.0021210319638430763
295000.0,184,53.946783,-8.092089,3,1,house,Carrick On Shannon,215346.87796646974,-79653.12203353026,-0.2700105831645094
235000.0,169,54.225681,-8.404629,4,3,house,Sligo,278905.3825265798,43905.38252657978,0.18683141500672246
140000.0,111,53.760567,-8.556549,3,1,house,,146436.28065623844,6436.280656238436,0.04597343325884597
420000.0,251,52.21956,-6.51365,5,4,house,Wexford,490747.12661849306,70747.12661849306,0.1684455395678406
295000.0,92,51.703118,-8.533707,3,2,house,Kinsale,397404.23527866765,102404.23527866765,0.3471330009446361
395000.0,128,53.454745,-6.232888,3,2,house,Swords,453751.10750687943,58751.10750687943,0.14873698103007452
675000.0,158,53.291755,-6.233555,4,2,house,Dublin 14,856990.4749893502,181990.4749893502,0.269615518502741
345000.0,130,51.922573,-8.386337,4,3,house,Glanmire,303702.35587848054,-41297.644121519465,-0.11970331629425932
375000.0,123,51.94105806529302,-8.400895797602345,3,2,house,Glanmire,298677.4696170191,-76322.53038298088,-0.203526747687949
350000.0,108,51.94105806529302,-8.400895797602345,3,2,house,Glanmire,278862.5203650361,-71137.47963496391,-0.2032499418141826
280000.0,101,53.00821738601758,-6.815975010141557,3,3,house,,236271.84623046964,-43728.153769530356,-0.1561719777483227
240000.0,119,51.935181866436665,-10.235626647837137,4,3,house,,255708.65458276152,15708.65458276152,0.065452727428173
220000.0,120,51.935181866436665,-10.235626647837137,3,3,house,,249875.2421456092,29875.242145609198,0.13579655520731454
270000.0,124,52.05408715355304,-9.464114008683936,3,2,house,Kenmare,259984.35145235778,-10015.648547642224,-0.037094994620897125
270000.0,122,52.05408715355304,-9.464114008683936,3,1,house,Kenmare,238760.54352517432,-31239.45647482568,-0.11570169064750252
685000.0,172,53.34792790249625,-6.345854017963063,3,3,house,Dublin 20,606200.3830941971,-78799.61690580286,-0.11503593708876331
345000.0,141,51.932833887023776,-8.051393088882037,4,3,house,Midleton,316499.57510060124,-28500.424899398757,-0.08260992724463408
345000.0,141,51.932833887023776,-8.051393088882037,4,3,house,Midleton,316499.57510060124,-28500.424899398757,-0.08260992724463408
315000.0,102,53.73537529218743,-6.884168678808862,3,3,house,Kells,219077.5840467278,-95922.4159532722,-0.3045156062008641
265000.0,82,53.73537529218743,-6.884168678808862,2,3,house,Kells,196025.9087542255,-68974.0912457745,-0.2602795896066962
250000.0,87,51.94002018848553,-7.999571909196248,2,2,house,Youghal,230265.28592631532,-19734.714073684678,-0.07893885629473871
240000.0,87,51.94002018848553,-7.999571909196248,2,2,house,Youghal,230265.28592631532,-9734.714073684678,-0.040561308640352824
345000.0,102,53.63023,-6.26834,3,3,house,Balbriggan,316138.29492103343,-28861.705078966566,-0.08365711617091759
345000.0,102,53.63023,-6.26834,3,3,house,Balbriggan,316138.29492103343,-28861.705078966566,-0.08365711617091759
520000.0,213,53.51984230644867,-7.310122588856075,4,2,house,Mullingar,369356.6623664243,-150643.33763357572,-0.28969872621841486
395000.0,160,53.51984230644867,-7.310122588856075,4,2,house,Mullingar,314144.9251373329,-80855.07486266713,-0.20469639205738513
755000.0,122,53.27337565251915,-6.174798375412792,3,2,apartment,Dublin 18,646403.7184537954,-108596.28154620458,-0.14383613449828422
590000.0,88,53.27337565251915,-6.174798375412792,2,2,apartment,Dublin 18,468701.41445997846,-121298.58554002154,-0.20559082294918904
330000.0,128,52.47884,-7.980359,3,2,house,,266516.1525814472,-63483.84741855279,-0.19237529520773572
360000.0,111,52.62786,-8.645634,4,4,house,Limerick,260875.92054622792,-99124.07945377208,-0.2753446651493669
545000.0,162,53.558702,-6.772497,5,4,house,Trim,406940.9041064187,-138059.09589358128,-0.25331944200657114
179000.0,91,52.844062,-8.971543,3,2,house,Miltown Malbay,201149.15986046178,22149.159860461776,0.12373832324280322
380000.0,112,53.297403,-6.693016,3,3,house,Naas,333921.94551391643,-46078.054486083565,-0.12125803812127255
795000.0,123,53.330146,-6.271332,2,2,house,Dublin 8,653430.0320405045,-141569.9679594955,-0.17807543139559182
550000.0,132,53.390428,-6.148474,4,1,house,Dublin 5,600767.0566695884,50767.05666958843,0.0923037393992517
1400000.0,170,53.313025,-6.253539,3,3,house,Dublin 6,1183553.9243226617,-216446.0756773383,-0.15460433976952734
595000.0,85,53.304236,-6.199366,2,2,house,Blackrock,549470.4803707907,-45529.5196292093,-0.07652020105749463
175000.0,73,52.856248,-7.565887,3,1,,Portlaoise,159114.0910356603,-15885.908964339702,-0.09077662265336972
235000.0,65,52.633696,-8.670248,2,1,apartment,Limerick,146722.81390746104,-88277.18609253896,-0.3756476003937828
190000.0,50,52.633696,-8.670248,1,1,apartment,Limerick,130707.67295001524,-59292.32704998476,-0.31206487921044607
320000.0,143,52.26650106348072,-7.1362045526255145,3,4,house,Waterford,311139.6622583666,-8860.337741633411,-0.02768855544260441
750000.0,160,53.255909,-6.145767,4,3,house,Dublin 18,873677.3808967795,123677.38089677948,0.1649031745290393
740000.0,158,53.255871,-6.145767,4,3,house,Dublin 18,871720.0904987045,131720.09049870446,0.17800012229554657
595000.0,103,53.295864,-6.226621,3,2,apartment,Dublin 14,602510.48710501,7510.487105009961,0.012622667403378085
525000.0,81,53.295864,-6.226621,2,2,apartment,Dublin 14,470958.1068826568,-54041.89311734319,-0.10293693927112989
475000.0,121,53.423835,-6.193284,4,2,,Swords,482081.1396770257,7081.139677025727,0.0149076624779489
160000.0,78,51.905665,-8.495236,3,1,house,Cork city northside,216345.63803380664,56345.63803380664,0.35216023771129146
750000.0,275,52.639812,-7.257775,5,5,house,Kilkenny,646322.0399467323,-103677.96005326766,-0.13823728007102354
495000.0,242,52.672657,-8.658496,6,6,house,Limerick,529102.5348511375,34102.53485113755,0.06889400980027788
425000.0,145,52.198686,-6.837243,3,2,house,New Ross,297437.6746510247,-127562.32534897531,-0.3001466478799419
470000.0,98,53.313043,-6.313173,3,1,house,,449764.2133808585,-20235.786619141523,-0.04305486514710962
235000.0,84,52.875412,-8.202997,3,3,house,Nenagh,187314.69094846086,-47685.30905153914,-0.20291620872995378
260000.0,112,53.727478,-6.887601,4,3,house,Kells,230310.05028953735,-29689.94971046265,-0.1141921142710102
420000.0,250,54.233538,-6.963508,5,3,house,Monaghan,381791.9258572971,-38208.07414270291,-0.0909716051016736
